"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"00e23121bad94719bff27f93646437b3",310,1,3,31,11,4.84993332624435,6,6,479382.1875,16398.3828125,265206.1875,8835.3349609375,54682.44140625,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,2,4,2,4
"00eb1114df14443a9effe1db5343435d",107,1,1,11,3,2.11249999701977,3,3,642849.0625,54367.44140625,355099.03125,29644.1875,168094.21875,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,,,,
"00f1eb71d428408f888b058a8e8664fe",122,0,1,10,2,4.40056657791138,6,6,1157535.625,0,639446.8125,0,145310.109375,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,9,5,4
"0101511a1da74f35b4fb8fd0c2cf8e69",219,0,2,20,7,9.74323335289955,12,19,748234.6875,0,421199.46875,0,43229.94921875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,2,3,2,2
"0103050b934841289df128242538e3ea",311,1,3,31,8,5.78026661276817,8,9,500764.40625,0,278203.59375,0,48129.890625,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,2,4,1,3
"01152e19bbdd4744a712260121f34bf7",108,0,1,10,3,2.88843330740929,4,4,696951.4375,0,400269.625,0,138576.71875,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,9,5,4
"0125c97b154d4f249c07f630cd52a102",225,0,2,20,6,1.59369999170303,2,2,266863.40625,0,149317.5,0,93692.3515625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,4,8,4,5
"0130f7b8553e41139cc871d924491db2",321,0,3,30,9,5.40143328905106,6,6,584291,0,331493.0625,0,61371.31640625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,3,5,3,4
"01474a4d9efd4b8190c37f5fba89a005",113,1,1,11,2,12.5942666232586,17,18,2623550,0,1485239.25,0,117929.7890625,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,4,8,4,4
"01483c3751964ad2842b6e4a8b6edcdd",406,0,4,40,13,5.22706660628319,7,7,350481.625,0,192711.078125,0,36867.921875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,1,1,2,1,1
