"EA_code","t0_EA_code","interview__key","s2cq15","s2cq16","s2cq17","s2cq17_oth","s2cq18","s2cq20","s2cq20_oth","s2cq19a","s2cq19b","s2cq19c","s2cq19c_oth","s2cq21","s2cq22","s2cq25","s2cq25_oth"
"8a25746d91fd4a71903d25321bf21f4b",,"32-79-51-40",2,2,,,2,,,,,,,,,,
"8cce422c32fb487db7f64fc57ab28ea3","1102030301","33-86-34-01",2,2,,,2,,,,,,,,,,
"8d6c882303774a69b457c672b327bb4b",,"13-27-67-54",3,2,,,2,,,,,,,,,1,
"8e0674510f124c79adff16fa72a15dbf","2211090903","59-49-37-12",1,2,,,1,1,,"100","1",2,,"15000",2,3,
"8e2224a0b6494414a93947f05e8d132e","4081010106","19-59-74-37",2,2,,,2,,,,,,,,,4,
"8f4c7489123f4036974cc7f574debbac","3231060609","60-97-61-88",2,2,,,2,,,,,,,,,4,
"8f4e78e6dc8746289651442eb40f7d6d","1221060618","43-33-76-18",2,2,,,2,,,,,,,,,4,
"8fc56ed20a424d2fac2361dd0f33e3ea","2151202008","04-35-73-80",2,2,,,1,1,,"100","1",2,,"15000",2,3,
"8fc986ddd794404797432dfcdde4cbd3","1103060602","85-17-19-95",,,,,,,,,,,,,,,
"8ef78b7b0f7147e0ac63d91538fa815c","3034040402","63-03-43-30",2,2,,,1,2,,,,,,"1000",2,,
"91a39a9bf8bb4ad68964d8dc19ba3253","1152050505","20-43-32-61",2,2,,,1,1,,"100","1",2,,"9000",1,,
"8f6eac2d77894b3f8ba983cdb145dfa6","1021050532","22-52-74-75",2,2,,,1,1,,"200","1",2,,"210000",1,,
"92bc05e40dff4e818160d4bc3bd31eee","3131040412","35-98-52-71",2,2,,,1,2,,,,,,"1000",2,,
"93f32e4649e8452181fa4f17e75cbf30","2041020205","22-63-38-40",3,2,,,1,2,,,,,,"2000",1,1,
"96087df97f6b4e1c8a0ec6aab97ffc23","3052020202","18-33-14-59",2,2,,,1,2,,,,,,"2000",1,6,
"989ebf98f43b4297beef92b24367e4c8","4151060612","30-99-66-58",2,2,,,2,,,,,,,,,,
"9693819c6c25424e8079d7bd5a399e59","4272020202","92-06-84-13",2,2,,,2,,,,,,,,,,
"9a2a6af2f9924430b9a0cc47327b661f","1021030312","09-71-54-71",2,2,,,1,1,,"200","1",2,,"24000",1,6,
"97ae00424b064a76ab02f3474665cca3","2043010102","93-57-84-53",2,2,,,1,2,,,,,,"5000",1,,
"9c9917e6e1554969a1d66ac128e8d541","1171040404","22-11-58-99",2,2,,,2,,,,,,,,,,
"9cb352e8b3464891a8e56c9682e6e772","2231262615","06-94-60-69",2,2,,,2,,,,,,,,,,
"a2b201c029f84e18ae079b30d287184d","4114030308","41-07-98-38",2,2,,,2,,,,,,,,,,
"a28038d2ed0047b28fc0ac652e00429b","4102010107","20-49-68-89",1,2,,,2,,,,,,,,,,
"a0b8bff5458e45b08b17f5b96f939cfb","4081020204","55-27-58-19",4,2,,,2,,,,,,,,,,
"9da07074406c46e68f1ad5e7813e373b","3021010115","12-56-84-63",1,2,,,1,2,,,,,,"1000",1,,
"97eeb4f2eae84dfc85e15d277e751cfb","3171010102","00-36-74-14",1,1,2,,1,2,,,,,,"2000",1,2,
"9eec20fc44d14b1485a5b54407494313","1061060602","30-88-55-94",,,,,,,,,,,,,,,
"a33b5f5221a14a80bfed99a205524fe7","3201080801","48-26-89-12",2,2,,,2,,,,,,,,,,
"a3e421e5c8924b2ebd4c84e7ab0538a4","3221111112","98-67-40-59",3,2,,,1,2,,,,,,"1000",1,,
"a3968f62607b402a85a551fab137e191","4281060619","07-23-18-10",2,2,,,2,,,,,,,,,,
"a633fb014edd4a55953902a674518e63","1021010102","82-74-17-32",1,2,,,1,1,,"100","1",2,,"9000",1,7,
"a3e0e5b0bb6045dbb836bcae2ae555c5","4121030305","26-48-88-55",1,2,,,2,,,,,,,,,4,
"a835522691ae4b52a5e2902750d571d5","3042040405","85-90-80-90",2,2,,,1,1,,"200","1",2,,"20000",2,,
"ab0749b99f874a8a9ad0e218c7070e41","4231101006","23-06-00-01",2,2,,,2,,,,,,,,,,
"a63fa436b8c141679c0885b968ae1d73","2123050504","83-94-15-57",2,2,,,2,,,,,,,,,4,
"a8fe82d0ebbd444d98af07dc137b4e07","2121050507","82-09-93-64",1,2,,,1,2,,,,,,"500",1,3,
"a9b4f7035d6e4a3b9f8176902c619b5b","1112020203","80-49-13-36",,,,,,,,,,,,,,,
