"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",5,3,1,2018,,1
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",1,3,1,2018,1,2
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",3,2,1,2018,1,3
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",2,12,1,2017,1,5
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",4,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",3,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",5,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",2,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",1,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",3,4,1,2018,1,3
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",2,4,1,2018,1,3
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",1,6,1,2018,1,96
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",5,5,1,2018,,96
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",4,,2,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",3,11,1,2017,1,3
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",5,2,1,2018,,3
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",2,11,1,2017,1,3
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",1,3,1,2018,1,2
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",4,11,1,2017,,4
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",2,11,1,2017,1,3
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",3,2,1,2018,1,2
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",5,2,1,2018,,96
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",4,,,,,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",1,2,1,2018,1,2
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",5,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",1,6,1,2018,1,96
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",2,2,1,2017,1,5
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",4,7,1,2018,,3
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",3,7,1,2018,1,3
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",4,11,1,2017,,3
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",3,3,1,2018,1,3
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",1,2,1,2018,1,3
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",5,,,,,
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",2,8,1,2017,1,5
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",5,4,1,2018,,2
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",1,5,1,2018,1,2
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",2,3,1,2018,1,4
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",4,4,1,2018,,3
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",3,3,1,2018,1,3
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",1,2,1,2018,1,3
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",2,1,1,2016,1,5
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",5,,2,,,
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",4,,2,,,
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",3,11,1,2017,1,3
"2dd8b36de95c4d5bba92df1210413388","2231212102","42-91-93-12",1,6,1,2018,1,2
"2dd8b36de95c4d5bba92df1210413388","2231212102","42-91-93-12",2,11,1,2016,1,5
"2dd8b36de95c4d5bba92df1210413388","2231212102","42-91-93-12",4,4,1,2018,,3
"2dd8b36de95c4d5bba92df1210413388","2231212102","42-91-93-12",5,,,,,
"2dd8b36de95c4d5bba92df1210413388","2231212102","42-91-93-12",3,6,1,2018,1,3
"2e97754263a84e12b95022950c69f673","11710.0.","43-35-34-23",3,11,1,2018,1,96
"2e97754263a84e12b95022950c69f673","11710.0.","43-35-34-23",5,11,1,2018,,3
"2e97754263a84e12b95022950c69f673","11710.0.","43-35-34-23",4,10,1,2018,,3
"2e97754263a84e12b95022950c69f673","11710.0.","43-35-34-23",2,10,1,2018,1,3
"2e97754263a84e12b95022950c69f673","11710.0.","43-35-34-23",1,12,1,2018,1,2
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",4,,1,,,
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",2,11,1,2017,1,5
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",3,3,1,2018,1,3
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",1,4,1,2018,1,2
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",5,,1,,,
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",1,,,,,
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",2,,,,,
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",4,,,,,
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",3,,,,,
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",5,,,,,
"2fc7c42417e64ebcaea375ffa538326d","4103030301","65-91-23-57",4,8,1,2018,,3
"2fc7c42417e64ebcaea375ffa538326d","4103030301","65-91-23-57",3,9,1,2018,1,3
"2fc7c42417e64ebcaea375ffa538326d","4103030301","65-91-23-57",1,9,1,2018,1,6
"2fc7c42417e64ebcaea375ffa538326d","4103030301","65-91-23-57",5,8,1,2018,,3
"2fc7c42417e64ebcaea375ffa538326d","4103030301","65-91-23-57",2,9,1,2018,1,2
"3048ed3a5a8a4ff69391cbfedd13657c","1061060602","68-00-06-79",4,4,1,2018,,3
"3048ed3a5a8a4ff69391cbfedd13657c","1061060602","68-00-06-79",3,3,1,2018,1,3
"3048ed3a5a8a4ff69391cbfedd13657c","1061060602","68-00-06-79",5,,2,,,
"3048ed3a5a8a4ff69391cbfedd13657c","1061060602","68-00-06-79",2,3,1,2018,1,3
"3048ed3a5a8a4ff69391cbfedd13657c","1061060602","68-00-06-79",1,5,1,2018,1,2
"305b636544344f65aabef33609978907","3251030302","37-68-69-42",3,8,1,2018,1,3
"305b636544344f65aabef33609978907","3251030302","37-68-69-42",2,7,1,2018,1,3
"305b636544344f65aabef33609978907","3251030302","37-68-69-42",4,,2,,,
"305b636544344f65aabef33609978907","3251030302","37-68-69-42",5,,2,,,
